"County","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Mean Annual Earnings","2011","Co. Clare","All NACE economic sectors","Euro","38592"
"Mean Annual Earnings","2011","Co. Clare","Construction (F)","Euro","35025"
"Mean Annual Earnings","2011","Co. Clare","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","26253"
"Mean Annual Earnings","2011","Co. Clare","Transportation and storage (H)","Euro","48677"
"Mean Annual Earnings","2011","Co. Clare","Accommodation and food service activities (I)","Euro","19759"
"Mean Annual Earnings","2011","Co. Clare","Information and communication (J)","Euro","45169"
"Mean Annual Earnings","2011","Co. Clare","Professional, scientific and technical activities (M)","Euro","42545"
"Mean Annual Earnings","2011","Co. Clare","Administrative and support service activities (N)","Euro","36755"
"Mean Annual Earnings","2011","Co. Clare","Public administration and defence; compulsory social security (O)","Euro","45161"
"Mean Annual Earnings","2011","Co. Clare","Education (P)","Euro","48964"
"Mean Annual Earnings","2011","Co. Clare","Human health and social work activities (Q)","Euro","33544"
"Mean Annual Earnings","2011","Co. Clare","Industry (B to E)","Euro","47255"
"Mean Annual Earnings","2011","Co. Clare","Financial, insurance and real estate activities (K,L)","Euro","40973"
"Mean Annual Earnings","2011","Co. Clare","Arts, entertainment, recreation and other service activities (R,S)","Euro","24403"
"Mean Annual Earnings","2011","Co. Cork","All NACE economic sectors","Euro","39169"
"Mean Annual Earnings","2011","Co. Cork","Construction (F)","Euro","36737"
"Mean Annual Earnings","2011","Co. Cork","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","28558"
"Mean Annual Earnings","2011","Co. Cork","Transportation and storage (H)","Euro","37240"
"Mean Annual Earnings","2011","Co. Cork","Accommodation and food service activities (I)","Euro","18629"
"Mean Annual Earnings","2011","Co. Cork","Information and communication (J)","Euro","50695"
"Mean Annual Earnings","2011","Co. Cork","Professional, scientific and technical activities (M)","Euro","40939"
"Mean Annual Earnings","2011","Co. Cork","Administrative and support service activities (N)","Euro","27986"
"Mean Annual Earnings","2011","Co. Cork","Public administration and defence; compulsory social security (O)","Euro","48173"
"Mean Annual Earnings","2011","Co. Cork","Education (P)","Euro","49073"
"Mean Annual Earnings","2011","Co. Cork","Human health and social work activities (Q)","Euro","36715"
"Mean Annual Earnings","2011","Co. Cork","Industry (B to E)","Euro","51601"
"Mean Annual Earnings","2011","Co. Cork","Financial, insurance and real estate activities (K,L)","Euro","47435"
"Mean Annual Earnings","2011","Co. Cork","Arts, entertainment, recreation and other service activities (R,S)","Euro","23326"
"Mean Annual Earnings","2011","Co. Cavan","All NACE economic sectors","Euro","34489"
"Mean Annual Earnings","2011","Co. Cavan","Construction (F)","Euro","32306"
"Mean Annual Earnings","2011","Co. Cavan","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","23984"
"Mean Annual Earnings","2011","Co. Cavan","Transportation and storage (H)","Euro","33155"
"Mean Annual Earnings","2011","Co. Cavan","Accommodation and food service activities (I)","Euro","17319"
"Mean Annual Earnings","2011","Co. Cavan","Information and communication (J)","Euro","45593"
"Mean Annual Earnings","2011","Co. Cavan","Professional, scientific and technical activities (M)","Euro","32186"
"Mean Annual Earnings","2011","Co. Cavan","Administrative and support service activities (N)","Euro","22196"
"Mean Annual Earnings","2011","Co. Cavan","Public administration and defence; compulsory social security (O)","Euro","45276"
"Mean Annual Earnings","2011","Co. Cavan","Education (P)","Euro","48616"
"Mean Annual Earnings","2011","Co. Cavan","Human health and social work activities (Q)","Euro","36429"
"Mean Annual Earnings","2011","Co. Cavan","Industry (B to E)","Euro","36231"
"Mean Annual Earnings","2011","Co. Cavan","Financial, insurance and real estate activities (K,L)","Euro","41136"
"Mean Annual Earnings","2011","Co. Cavan","Arts, entertainment, recreation and other service activities (R,S)","Euro","21267"
"Mean Annual Earnings","2011","Co. Carlow","All NACE economic sectors","Euro","34815"
"Mean Annual Earnings","2011","Co. Carlow","Construction (F)","Euro","32944"
"Mean Annual Earnings","2011","Co. Carlow","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","25858"
"Mean Annual Earnings","2011","Co. Carlow","Transportation and storage (H)","Euro","32404"
"Mean Annual Earnings","2011","Co. Carlow","Accommodation and food service activities (I)","Euro","18654"
"Mean Annual Earnings","2011","Co. Carlow","Information and communication (J)","Euro","50385"
"Mean Annual Earnings","2011","Co. Carlow","Professional, scientific and technical activities (M)","Euro","37176"
"Mean Annual Earnings","2011","Co. Carlow","Administrative and support service activities (N)","Euro","25597"
"Mean Annual Earnings","2011","Co. Carlow","Public administration and defence; compulsory social security (O)","Euro","46518"
"Mean Annual Earnings","2011","Co. Carlow","Education (P)","Euro","49613"
"Mean Annual Earnings","2011","Co. Carlow","Human health and social work activities (Q)","Euro","32014"
"Mean Annual Earnings","2011","Co. Carlow","Industry (B to E)","Euro","37580"
"Mean Annual Earnings","2011","Co. Carlow","Financial, insurance and real estate activities (K,L)","Euro","43967"
"Mean Annual Earnings","2011","Co. Carlow","Arts, entertainment, recreation and other service activities (R,S)","Euro","25367"
"Mean Annual Earnings","2011","Co. Donegal","All NACE economic sectors","Euro","31776"
"Mean Annual Earnings","2011","Co. Donegal","Construction (F)","Euro","27278"
"Mean Annual Earnings","2011","Co. Donegal","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","19977"
"Mean Annual Earnings","2011","Co. Donegal","Transportation and storage (H)","Euro","29216"
"Mean Annual Earnings","2011","Co. Donegal","Accommodation and food service activities (I)","Euro","15101"
"Mean Annual Earnings","2011","Co. Donegal","Information and communication (J)","Euro","38321"
"Mean Annual Earnings","2011","Co. Donegal","Professional, scientific and technical activities (M)","Euro","29028"
"Mean Annual Earnings","2011","Co. Donegal","Administrative and support service activities (N)","Euro","20531"
