"Statistic Label","Year","County","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Median Weekly Earnings","2011","Co. Clare","All NACE economic sectors","Euro","520.52"
"Median Weekly Earnings","2011","Co. Clare","Construction (F)","Euro","521.88"
"Median Weekly Earnings","2011","Co. Clare","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","354.33"
"Median Weekly Earnings","2011","Co. Clare","Transportation and storage (H)","Euro","686.9"
"Median Weekly Earnings","2011","Co. Clare","Accommodation and food service activities (I)","Euro","287.31"
"Median Weekly Earnings","2011","Co. Clare","Information and communication (J)","Euro","739.17"
"Median Weekly Earnings","2011","Co. Clare","Professional, scientific and technical activities (M)","Euro","571.34"
"Median Weekly Earnings","2011","Co. Clare","Administrative and support service activities (N)","Euro","428.12"
"Median Weekly Earnings","2011","Co. Clare","Public administration and defence; compulsory social security (O)","Euro","761.55"
"Median Weekly Earnings","2011","Co. Clare","Education (P)","Euro","774.12"
"Median Weekly Earnings","2011","Co. Clare","Human health and social work activities (Q)","Euro","525.85"
"Median Weekly Earnings","2011","Co. Clare","Industry (B to E)","Euro","686.03"
"Median Weekly Earnings","2011","Co. Clare","Financial, insurance and real estate activities (K,L)","Euro","605.19"
"Median Weekly Earnings","2011","Co. Clare","Arts, entertainment, recreation and other service activities (R,S)","Euro","323.68"
"Median Weekly Earnings","2011","Co. Cork","All NACE economic sectors","Euro","534.82"
"Median Weekly Earnings","2011","Co. Cork","Construction (F)","Euro","560.32"
"Median Weekly Earnings","2011","Co. Cork","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","388.2"
"Median Weekly Earnings","2011","Co. Cork","Transportation and storage (H)","Euro","552.34"
"Median Weekly Earnings","2011","Co. Cork","Accommodation and food service activities (I)","Euro","268.86"
"Median Weekly Earnings","2011","Co. Cork","Information and communication (J)","Euro","763.17"
"Median Weekly Earnings","2011","Co. Cork","Professional, scientific and technical activities (M)","Euro","550.54"
"Median Weekly Earnings","2011","Co. Cork","Administrative and support service activities (N)","Euro","439.04"
"Median Weekly Earnings","2011","Co. Cork","Public administration and defence; compulsory social security (O)","Euro","823.84"
"Median Weekly Earnings","2011","Co. Cork","Education (P)","Euro","747.18"
"Median Weekly Earnings","2011","Co. Cork","Human health and social work activities (Q)","Euro","572.88"
"Median Weekly Earnings","2011","Co. Cork","Industry (B to E)","Euro","745.44"
"Median Weekly Earnings","2011","Co. Cork","Financial, insurance and real estate activities (K,L)","Euro","660.95"
