"Statistic Label","Quarter","Employees Size","Economic Sector NACE Rev 2","UNIT","VALUE"
"Average Weekly Earnings","2008Q1","50 - 250","All NACE economic sectors","Euro","670.12"
"Average Weekly Earnings","2008Q1","50 - 250","Construction (F)","Euro","839.11"
"Average Weekly Earnings","2008Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","587.9"
"Average Weekly Earnings","2008Q1","50 - 250","Transportation and storage (H)","Euro","726.05"
"Average Weekly Earnings","2008Q1","50 - 250","Accommodation and food service activities (I)","Euro","367.7"
"Average Weekly Earnings","2008Q1","50 - 250","Information and communication (J)","Euro","953.39"
"Average Weekly Earnings","2008Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","968.96"
"Average Weekly Earnings","2008Q1","50 - 250","Administrative and support service activities (N)","Euro","494.29"
"Average Weekly Earnings","2008Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1061.51"
"Average Weekly Earnings","2008Q1","50 - 250","Education (P)","Euro","727.89"
"Average Weekly Earnings","2008Q1","50 - 250","Human health and social work activities (Q)","Euro","540.9"
"Average Weekly Earnings","2008Q1","50 - 250","Industry (B to E)","Euro","735.93"
"Average Weekly Earnings","2008Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1359.16"
"Average Weekly Earnings","2008Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","575.45"
"Average Weekly Earnings","2008Q2","50 - 250","All NACE economic sectors","Euro","652.77"
"Average Weekly Earnings","2008Q2","50 - 250","Construction (F)","Euro","883.83"
"Average Weekly Earnings","2008Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","579.36"
"Average Weekly Earnings","2008Q2","50 - 250","Transportation and storage (H)","Euro","701.57"
"Average Weekly Earnings","2008Q2","50 - 250","Accommodation and food service activities (I)","Euro","366.13"
"Average Weekly Earnings","2008Q2","50 - 250","Information and communication (J)","Euro","898.1"
"Average Weekly Earnings","2008Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","920.72"
"Average Weekly Earnings","2008Q2","50 - 250","Administrative and support service activities (N)","Euro","513.85"
"Average Weekly Earnings","2008Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1066.54"
"Average Weekly Earnings","2008Q2","50 - 250","Education (P)","Euro","603.42"
"Average Weekly Earnings","2008Q2","50 - 250","Human health and social work activities (Q)","Euro","544.56"
"Average Weekly Earnings","2008Q2","50 - 250","Industry (B to E)","Euro","727.53"
"Average Weekly Earnings","2008Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1069.55"
"Average Weekly Earnings","2008Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","580.35"
"Average Weekly Earnings","2008Q3","50 - 250","All NACE economic sectors","Euro","652.96"
"Average Weekly Earnings","2008Q3","50 - 250","Construction (F)","Euro","918.21"
"Average Weekly Earnings","2008Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","578.83"
"Average Weekly Earnings","2008Q3","50 - 250","Transportation and storage (H)","Euro","699.42"
"Average Weekly Earnings","2008Q3","50 - 250","Accommodation and food service activities (I)","Euro","372.57"
"Average Weekly Earnings","2008Q3","50 - 250","Information and communication (J)","Euro","937.02"
"Average Weekly Earnings","2008Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","921.69"
"Average Weekly Earnings","2008Q3","50 - 250","Administrative and support service activities (N)","Euro","501.77"
"Average Weekly Earnings","2008Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1090.97"
"Average Weekly Earnings","2008Q3","50 - 250","Education (P)","Euro","659.15"
"Average Weekly Earnings","2008Q3","50 - 250","Human health and social work activities (Q)","Euro","512.24"
"Average Weekly Earnings","2008Q3","50 - 250","Industry (B to E)","Euro","721.24"
"Average Weekly Earnings","2008Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1043.98"
"Average Weekly Earnings","2008Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","640.48"
"Average Weekly Earnings","2008Q4","50 - 250","All NACE economic sectors","Euro","666.35"
"Average Weekly Earnings","2008Q4","50 - 250","Construction (F)","Euro","929.99"
"Average Weekly Earnings","2008Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","587.84"
"Average Weekly Earnings","2008Q4","50 - 250","Transportation and storage (H)","Euro","730.52"
"Average Weekly Earnings","2008Q4","50 - 250","Accommodation and food service activities (I)","Euro","371.59"
"Average Weekly Earnings","2008Q4","50 - 250","Information and communication (J)","Euro","957.38"
"Average Weekly Earnings","2008Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","960.2"
"Average Weekly Earnings","2008Q4","50 - 250","Administrative and support service activities (N)","Euro","480.11"
"Average Weekly Earnings","2008Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1110.02"
"Average Weekly Earnings","2008Q4","50 - 250","Education (P)","Euro","634.83"
"Average Weekly Earnings","2008Q4","50 - 250","Human health and social work activities (Q)","Euro","535.23"
"Average Weekly Earnings","2008Q4","50 - 250","Industry (B to E)","Euro","748.26"
"Average Weekly Earnings","2008Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1109.9"
"Average Weekly Earnings","2008Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","647.42"
"Average Weekly Earnings","2009Q1","50 - 250","All NACE economic sectors","Euro","672.14"
"Average Weekly Earnings","2009Q1","50 - 250","Construction (F)","Euro","856.91"
"Average Weekly Earnings","2009Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","577.93"
"Average Weekly Earnings","2009Q1","50 - 250","Transportation and storage (H)","Euro","709.15"
"Average Weekly Earnings","2009Q1","50 - 250","Accommodation and food service activities (I)","Euro","351.79"
"Average Weekly Earnings","2009Q1","50 - 250","Information and communication (J)","Euro","949.57"
"Average Weekly Earnings","2009Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","1101.06"
"Average Weekly Earnings","2009Q1","50 - 250","Administrative and support service activities (N)","Euro","576.19"
"Average Weekly Earnings","2009Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1108.62"
"Average Weekly Earnings","2009Q1","50 - 250","Education (P)","Euro","686.26"
"Average Weekly Earnings","2009Q1","50 - 250","Human health and social work activities (Q)","Euro","521.15"
"Average Weekly Earnings","2009Q1","50 - 250","Industry (B to E)","Euro","721.85"
"Average Weekly Earnings","2009Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1290.05"
"Average Weekly Earnings","2009Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","582.68"
"Average Weekly Earnings","2009Q2","50 - 250","All NACE economic sectors","Euro","652.72"
"Average Weekly Earnings","2009Q2","50 - 250","Construction (F)","Euro","913.57"
"Average Weekly Earnings","2009Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","584.69"
"Average Weekly Earnings","2009Q2","50 - 250","Transportation and storage (H)","Euro","696.32"
"Average Weekly Earnings","2009Q2","50 - 250","Accommodation and food service activities (I)","Euro","358.86"
"Average Weekly Earnings","2009Q2","50 - 250","Information and communication (J)","Euro","931.52"
"Average Weekly Earnings","2009Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","976.99"
"Average Weekly Earnings","2009Q2","50 - 250","Administrative and support service activities (N)","Euro","517.94"
"Average Weekly Earnings","2009Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1136.19"
"Average Weekly Earnings","2009Q2","50 - 250","Education (P)","Euro","644.62"
"Average Weekly Earnings","2009Q2","50 - 250","Human health and social work activities (Q)","Euro","530.58"
"Average Weekly Earnings","2009Q2","50 - 250","Industry (B to E)","Euro","723.89"
"Average Weekly Earnings","2009Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1024.4"
"Average Weekly Earnings","2009Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","564.29"
"Average Weekly Earnings","2009Q3","50 - 250","All NACE economic sectors","Euro","647.03"
"Average Weekly Earnings","2009Q3","50 - 250","Construction (F)","Euro","882.43"
"Average Weekly Earnings","2009Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","565.43"
"Average Weekly Earnings","2009Q3","50 - 250","Transportation and storage (H)","Euro","680.69"
"Average Weekly Earnings","2009Q3","50 - 250","Accommodation and food service activities (I)","Euro","362.23"
"Average Weekly Earnings","2009Q3","50 - 250","Information and communication (J)","Euro","937.02"
"Average Weekly Earnings","2009Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","983.33"
"Average Weekly Earnings","2009Q3","50 - 250","Administrative and support service activities (N)","Euro","508.72"
