"Statistic Label","Quarter","Size of Employees per Enterprise","Economic Sector NACE Rev 2","UNIT","VALUE"
"Average Hourly Earnings","2008Q1","Under 50","All NACE economic sectors","Euro","17.37"
"Average Hourly Earnings","2008Q1","Under 50","Construction (F)","Euro","18.11"
"Average Hourly Earnings","2008Q1","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.07"
"Average Hourly Earnings","2008Q1","Under 50","Transportation and storage (H)","Euro","16.1"
"Average Hourly Earnings","2008Q1","Under 50","Accommodation and food service activities (I)","Euro","12.23"
"Average Hourly Earnings","2008Q1","Under 50","Information and communication (J)","Euro","28.35"
"Average Hourly Earnings","2008Q1","Under 50","Professional, scientific and technical activities (M)","Euro","22.61"
"Average Hourly Earnings","2008Q1","Under 50","Administrative and support service activities (N)","Euro","18.08"
"Average Hourly Earnings","2008Q1","Under 50","Public administration and defence; compulsory social security (O)","Euro","26.46"
"Average Hourly Earnings","2008Q1","Under 50","Education (P)","Euro","17.95"
"Average Hourly Earnings","2008Q1","Under 50","Human health and social work activities (Q)","Euro","15.23"
"Average Hourly Earnings","2008Q1","Under 50","Industry (B to E)","Euro","16.11"
"Average Hourly Earnings","2008Q1","Under 50","Financial, insurance and real estate activities (K,L)","Euro","26.23"
"Average Hourly Earnings","2008Q1","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.4"
"Average Hourly Earnings","2008Q1","50 - 250","All NACE economic sectors","Euro","19.74"
"Average Hourly Earnings","2008Q1","50 - 250","Construction (F)","Euro","20.94"
"Average Hourly Earnings","2008Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18"
"Average Hourly Earnings","2008Q1","50 - 250","Transportation and storage (H)","Euro","19.25"
"Average Hourly Earnings","2008Q1","50 - 250","Accommodation and food service activities (I)","Euro","12.71"
"Average Hourly Earnings","2008Q1","50 - 250","Information and communication (J)","Euro","26.45"
"Average Hourly Earnings","2008Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","28.32"
"Average Hourly Earnings","2008Q1","50 - 250","Administrative and support service activities (N)","Euro","15.13"
"Average Hourly Earnings","2008Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","32.01"
"Average Hourly Earnings","2008Q1","50 - 250","Education (P)","Euro","30.85"
"Average Hourly Earnings","2008Q1","50 - 250","Human health and social work activities (Q)","Euro","18.15"
"Average Hourly Earnings","2008Q1","50 - 250","Industry (B to E)","Euro","19"
"Average Hourly Earnings","2008Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","37.85"
"Average Hourly Earnings","2008Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","19.43"
"Average Hourly Earnings","2008Q1","Greater than 250","All NACE economic sectors","Euro","25.43"
"Average Hourly Earnings","2008Q1","Greater than 250","Construction (F)","Euro","23.87"
"Average Hourly Earnings","2008Q1","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","15.73"
"Average Hourly Earnings","2008Q1","Greater than 250","Transportation and storage (H)","Euro","22.24"
"Average Hourly Earnings","2008Q1","Greater than 250","Accommodation and food service activities (I)","Euro","13.07"
"Average Hourly Earnings","2008Q1","Greater than 250","Information and communication (J)","Euro","27.29"
"Average Hourly Earnings","2008Q1","Greater than 250","Professional, scientific and technical activities (M)","Euro","25.45"
"Average Hourly Earnings","2008Q1","Greater than 250","Administrative and support service activities (N)","Euro","14.95"
"Average Hourly Earnings","2008Q1","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","27.6"
"Average Hourly Earnings","2008Q1","Greater than 250","Education (P)","Euro","35.25"
"Average Hourly Earnings","2008Q1","Greater than 250","Human health and social work activities (Q)","Euro","25.27"
"Average Hourly Earnings","2008Q1","Greater than 250","Industry (B to E)","Euro","24.43"
"Average Hourly Earnings","2008Q1","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","34.42"
"Average Hourly Earnings","2008Q1","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","14.75"
"Average Hourly Earnings","2008Q2","Under 50","All NACE economic sectors","Euro","17.65"
"Average Hourly Earnings","2008Q2","Under 50","Construction (F)","Euro","18.22"
"Average Hourly Earnings","2008Q2","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.14"
"Average Hourly Earnings","2008Q2","Under 50","Transportation and storage (H)","Euro","17.85"
"Average Hourly Earnings","2008Q2","Under 50","Accommodation and food service activities (I)","Euro","12.35"
"Average Hourly Earnings","2008Q2","Under 50","Information and communication (J)","Euro","25.88"
"Average Hourly Earnings","2008Q2","Under 50","Professional, scientific and technical activities (M)","Euro","24.2"
"Average Hourly Earnings","2008Q2","Under 50","Administrative and support service activities (N)","Euro","18.56"
"Average Hourly Earnings","2008Q2","Under 50","Public administration and defence; compulsory social security (O)","Euro","27.98"
"Average Hourly Earnings","2008Q2","Under 50","Education (P)","Euro","17.29"
"Average Hourly Earnings","2008Q2","Under 50","Human health and social work activities (Q)","Euro","15.39"
"Average Hourly Earnings","2008Q2","Under 50","Industry (B to E)","Euro","16.25"
"Average Hourly Earnings","2008Q2","Under 50","Financial, insurance and real estate activities (K,L)","Euro","27.92"
"Average Hourly Earnings","2008Q2","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.65"
"Average Hourly Earnings","2008Q2","50 - 250","All NACE economic sectors","Euro","19.17"
"Average Hourly Earnings","2008Q2","50 - 250","Construction (F)","Euro","22.27"
"Average Hourly Earnings","2008Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","17.87"
"Average Hourly Earnings","2008Q2","50 - 250","Transportation and storage (H)","Euro","18.18"
"Average Hourly Earnings","2008Q2","50 - 250","Accommodation and food service activities (I)","Euro","12.49"
"Average Hourly Earnings","2008Q2","50 - 250","Information and communication (J)","Euro","25.05"
"Average Hourly Earnings","2008Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","26.91"
"Average Hourly Earnings","2008Q2","50 - 250","Administrative and support service activities (N)","Euro","15.3"
"Average Hourly Earnings","2008Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","31.87"
"Average Hourly Earnings","2008Q2","50 - 250","Education (P)","Euro","24.88"
"Average Hourly Earnings","2008Q2","50 - 250","Human health and social work activities (Q)","Euro","18.43"
"Average Hourly Earnings","2008Q2","50 - 250","Industry (B to E)","Euro","18.71"
"Average Hourly Earnings","2008Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","29.57"
